week,title,location,time,cost,phonenumber,datasource
0,1st Trimester Patient Information Classes,"200 Boylston St, Suite 301 Conference Room Chestnut Hill, MA",8 am – 9 am,$0 ,null,https://neobgyn.org/wp-content/uploads/2018/03/prenatal-guide.pdf
1,Labor and Delivery Class,"200 Boylston St, Suite 301 Conference Room Chestnut Hill, MA",5 pm – 7:30 pm,$40 ,617-731-3400,https://neobgyn.org/wp-content/uploads/2018/03/prenatal-guide.pdf
2,Lactation Classes,"200 Boylston St, Suite 301 Conference Room Chestnut Hill, MA",8 am – 9 am,$20 ,null,https://neobgyn.org/wp-content/uploads/2018/03/prenatal-guide.pdf
3,Labor and Delivery Classes,"75 Francis Street, Connors Building, 8th floor, room 825","Sat 10 am – 4 pm
Sun 9 am – 4 pm",$160 ,null,https://neobgyn.org/wp-content/uploads/2018/03/prenatal-guide.pdf
4,Breastfeeding Classes,TBD,TBD,$45 ,null,https://neobgyn.org/wp-content/uploads/2018/03/prenatal-guide.pdf
5,Prenatal Yoga Classes,TBD,Fri 12 pm – 1 pm,$0 ,null,https://neobgyn.org/wp-content/uploads/2018/03/prenatal-guide.pdf
6,,,,,,
7,,,,,,
8,,,,,,
9,,,,,,
10,,,,,,
11,,,,,,
12,,,,,,
13,,,,,,
14,,,,,,
15,,,,,,
16,,,,,,
17,,,,,,
18,,,,,,
19,,,,,,
20,,,,,,
21,,,,,,
22,,,,,,
23,,,,,,
24,,,,,,
25,,,,,,
26,,,,,,
27,,,,,,
28,,,,,,
29,,,,,,
30,,,,,,
31,,,,,,
32,,,,,,
33,,,,,,
34,,,,,,
35,,,,,,
36,,,,,,
